NO_OF_FRAMES	919
NO_OF_DATA_TYPES	1
FREQUENCY	200
TIME_STAMP	2022-06-21, 12:21:53
DATA_INCLUDED	Angle
DATA_TYPES	R_knee_angle

Frame	Time	R_knee_angle	
281	1.40000	129.911
282	1.40500	128.532
283	1.41000	127.213
284	1.41500	125.981
285	1.42000	124.861
286	1.42500	123.837
287	1.43000	122.918
288	1.43500	122.049
289	1.44000	121.357
290	1.44500	120.700
291	1.45000	120.159
292	1.45500	119.735
293	1.46000	119.491
294	1.46500	119.110
295	1.47000	118.829
296	1.47500	118.588
297	1.48000	118.461
298	1.48500	118.415
299	1.49000	118.460
300	1.49500	118.558
301	1.50000	118.726
302	1.50500	118.953
303	1.51000	119.289
304	1.51500	119.670
305	1.52000	120.135
306	1.52500	120.672
307	1.53000	121.297
308	1.53500	121.985
309	1.54000	122.737
310	1.54500	123.563
311	1.55000	124.499
312	1.55500	125.434
313	1.56000	126.455
314	1.56500	127.522
315	1.57000	128.675
316	1.57500	129.832
317	1.58000	131.213
318	1.58500	132.710
319	1.59000	133.996
320	1.59500	135.069
321	1.60000	136.666
322	1.60500	138.295
323	1.61000	139.853
324	1.61500	141.597
325	1.62000	143.288
326	1.62500	145.026
327	1.63000	146.744
328	1.63500	148.527
329	1.64000	150.261
330	1.64500	151.978
331	1.65000	153.693
332	1.65500	155.383
333	1.66000	157.015
334	1.66500	158.613
335	1.67000	160.077
336	1.67500	161.465
337	1.68000	162.747
338	1.68500	163.893
339	1.69000	164.927
340	1.69500	165.802
341	1.70000	166.567
342	1.70500	167.192
343	1.71000	167.693
344	1.71500	168.068
345	1.72000	168.319
346	1.72500	168.623
347	1.73000	168.681
348	1.73500	168.562
349	1.74000	168.311
350	1.74500	167.910
351	1.75000	167.414
352	1.75500	166.815
353	1.76000	166.134
354	1.76500	165.441
355	1.77000	164.808
356	1.77500	164.320
357	1.78000	163.966
358	1.78500	163.786
359	1.79000	163.519
360	1.79500	163.156
361	1.80000	162.666
362	1.80500	162.057
363	1.81000	161.347
364	1.81500	160.599
365	1.82000	159.810
366	1.82500	159.142
367	1.83000	158.549
368	1.83500	158.024
369	1.84000	157.548
370	1.84500	157.136
371	1.85000	156.800
372	1.85500	156.548
